name,translation,cookware_note,serves,cooking_time,detail_fetched,error,event_target
Chicken Gumbo,,,8,06 minutes,True,,DataList$ctl06$dlst$ctl04$ctl00
Chicken in Lemon sauce,,,,10 minutes or less,True,,DataList$ctl06$dlst$ctl05$ctl00
Chicken Marengo,,,6,06 minutes,True,,DataList$ctl06$dlst$ctl06$ctl00
Chicken Pilau Futura Hard Anodised 3 Litre Handi,Saucepan,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl07$ctl00
Chicken Stew,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl08$ctl00
Chicken Stock,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl09$ctl00
Coq Au Vin,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl10$ctl00
Ginger Chicken,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl11$ctl00
Handi Chicken,Chicken Simmered in Gravy,Futura Hard Anodised 3 Litre Handi (Saucepan),,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl12$ctl00
Kadai Masala Chicken,Spicy Stir-Fried Chicken,Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl13$ctl00
Kadhai Masala Chicken,Spicy Stir-Fried Chicken,Futura Nonstick 2.5 Litre All-Purpose pan,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl14$ctl00
Komdiche Xacuti,Chicken Curry - Goan Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl15$ctl00
Kozhi Irachi Ularthu,Chicken Masala - Kerala Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl16$ctl00
Kozhi Kuttan,Chicken Curry - Kerala Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl17$ctl00
Kugdache Vindaloo,Vindaloo - Chicken Curry - Mangalore Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl18$ctl00
Murgh Hyderabadi,Chicken - Hyderabad Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl19$ctl00
Murgh Musallam,Chicken - Moghul Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl20$ctl00
Murghi Jhol,Chicken Curry,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl21$ctl00
Murghi ma Kaju,Chicken with Cashew Nuts - Parsi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl22$ctl00
Rasedaar Murghi,Chicken Curry,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl23$ctl00
Seyal Murghi,Chicken - Sindhi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl24$ctl00
Spanish Chicken,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl25$ctl00
Spicy Fried Chicken Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl26$ctl00
Stewed Chicken and Dumplings,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl27$ctl00
Stuffed Cornish Hens,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl28$ctl00
Sweet Corn and Chicken Soup,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl06$dlst$ctl29$ctl00
Aattirachi Curry,Mutton Masala - Kerala Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl00$ctl00
Bharuchi Gosh,Mutton Cooked in Milk,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl01$ctl00
Bokrache Masachi Kaddi,Mutton Curry - Goan Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl02$ctl00
Bokrachya Masachi Kadi,Mutton Curry - Mangalore Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl03$ctl00
Bokrachya Masachi Kadi Tharna Masalyanth,Mutton in Green Masala - Mangalore Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl04$ctl00
Browned Lamb Stew,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl05$ctl00
Dabba Gosht,Mutton - Hyderabad Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl06$ctl00
Dabba Gosht,Spicy Mutton Cubes,Futura Hard Anodised 3 Litre Handi (Saucepan),,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl07$ctl00
Dhansak,Mutton with Lentils and Vegetables - Parsi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl08$ctl00
Dum Gosht,Mutton Simmered in Gravy,Futura Hard Anodised 3 Litre Handi (Saucepan),,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl09$ctl00
Kashmiri Rogan Josh,Mutton Curry - Kashmir Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl10$ctl00
Kheema Kebab,Minced Mutton Cutlets,Futura Nonstick Frying Pan 26 cm,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl11$ctl00
Kheema Kofta Curry,Meat Balls in Gravy,Futura Hard Anodised Cook-n-Serve Bowl 3 Litre,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl12$ctl00
Kheema Matar,Minced Mutton and Peas,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl13$ctl00
Kheema Vada,Mince Meat Cakes,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl14$ctl00
Khichda,Mutton with Wheat and Pulses - Moghul Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl15$ctl00
Lamb Curry,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl16$ctl00
Lamb Roast,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl17$ctl00
Lamb Stew,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl18$ctl00
Mansam Chops,Mutton Chops - Andhra Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl19$ctl00
Manshor Ghugni,Mutton with White Peas,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl20$ctl00
Manshor Jhol,Mutton Curry,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl21$ctl00
Manshor Khorma,Mutton Curry,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl22$ctl00
Manshor Tarkari,Mutton and Potato Curry - Orissa Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl23$ctl00
Masala Chops,Mutton Chops,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl24$ctl00
Mutton Biryani,Rice Layered with Spicy Mutton - Moghul Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl25$ctl00
Mutton Biryani,Rice Layered with Spicy Mutton,3 Litre Futura Nonstick Cook-n-Serve Bowl with Glass Lid,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl26$ctl00
Mutton Biryani,Rice Layered with Spicy Mutton,Futura Hard Anodised 3 Litre Handi (Saucepan),,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl27$ctl00
Mutton Hamburgers Futura Hard Anodised Frying Pan 25 cm,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl28$ctl00
Mutton Hamburgers Futura Nonstick Frying Pan 26 cm,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl29$ctl00
Muttonache Saar,Mutton Curry - Maharashtra Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl30$ctl00
Papeta ma Gosh,Mutton and Potato Stew,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl31$ctl00
Rasedaar Gosht,Mutton Curry,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl32$ctl00
Rogan Josh,Mutton in Rich Gravy,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl33$ctl00
Saag Gosht,Mutton with Spinach,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl34$ctl00
Sali Boti,Mutton Curry - Parsi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl35$ctl00
Scotch Broth,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl36$ctl00
Seyal Teevan,Mutton - Sindhi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl37$ctl00
Spicy Lamb Indonesian,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl38$ctl00
Spicy Lamb Roast,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl39$ctl00
Yakhni Pulao,Mutton Pilaf,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl07$dlst$ctl40$ctl00
Bengali Fish Curry Futura Hard Anodised 3 Litre Handi,Saucepan,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl00$ctl00
Bengali Fish Curry Futura Nonstick 3.25 Litre Curry Pan,Sautepan,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl01$ctl00
Bengali Fish Curry 3.25 Litre Futura Nonstick Curry Pan,Saute Pan,with Glass Lid,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl02$ctl00
Bhappa Chingri,Steamed Prawns,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl03$ctl00
Chingri Macher Malai Curry,Prawns in Coconut Milk,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl04$ctl00
Chingri Pulao,Prawn Pulao,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl05$ctl00
Dahi Maccha,Fish in Curd - Orissa Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl06$ctl00
Doi Maach,Fish in Curd - Bengal Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl07$ctl00
Fish Biryani,Rice Layered with Spicy Fish,Futura Hard Anodised 3 Litre Handi (Saucepan),,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl08$ctl00
Fish Croquettes,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl09$ctl00
Fish en Papillote,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl10$ctl00
Fish Fingers Futura Hard Anodised 2.5 Litre Deep-Fry Pan,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl11$ctl00
Fish Steak with Mushrooms,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl12$ctl00
Fish Stock,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl13$ctl00
Illish Sarso Bata,Hilsa Fish in Mustard,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl14$ctl00
Kolmino Pulao,Prawn Pulao - Parsi Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl15$ctl00
Lau Chingri,Prawns with Bottle Gourd,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl16$ctl00
Meen Curry,Fish Curry - Kerala Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl17$ctl00
Moonger Daler Moori Ghanto,Fish Head with Green Gram,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl18$ctl00
Nisteachi Coddi,Fish Curry - Goan Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl19$ctl00
Patra ni  Machhi,Fish in Banana Leaf,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl20$ctl00
Poach Bhangra,Poached Mackerel,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl21$ctl00
Poached Mackerel,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl22$ctl00
Prawn Curry Futura Hard Anodised Cook-n-Serve Bowl 3 Litre and Futura Hard Anodised Stewpot 3 Litre,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl23$ctl00
Salmon Steaks,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl24$ctl00
Spicy Fish Fry Futura Nonstick Frying Pan 26 cm,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl25$ctl00
Spicy Fish Fry Futura Hard Anodised Frying Pan 25 cm,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl26$ctl00
Tenga,Sour Fish Curry - Assam Style,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl27$ctl00
Three Fish Stew,,,,,False,403 Client Error: Forbidden for url: https://www.hawkinscookers.com/recipe_selector.aspx,DataList$ctl08$dlst$ctl28$ctl00
